time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-16_00:58:19,zstd,52428800,65536,1,True,0.00,0.00,0.000,0.000,1091048683,1079.721,493537.2,1102.3,1080.8,1088.3,1074.6,1075.3,1076.3,1071.2,1084.3,1083.2,1060.9,493564.0,493500.0,493740.0,493684.0,493308.0,493492.0,493532.0,493680.0,493100.0,493772.0
23-06-16_00:59:53,zstd,52428800,32768,1,True,0.22,19.81,-25.141,6.002,874881683,808.273,463913.2,819.1,804.8,801.1,809.5,804.6,806.8,806.6,806.3,813.4,810.6,451536.0,475928.0,476512.0,451536.0,475828.0,451380.0,476668.0,451752.0,476508.0,451484.0
23-06-16_01:01:28,zstd,52428800,65536,1,True,3.48,19.87,-17.472,8.028,874246717,891.071,453918.4,885.6,894.5,890.4,892.5,895.7,894.8,883.2,889.6,892.3,892.1,471752.0,471152.0,446232.0,445988.0,446516.0,446296.0,446296.0,471972.0,446708.0,446272.0
23-06-16_01:03:05,zstd,52428800,131072,1,True,7.34,19.76,-7.335,9.602,875508465,1000.521,446147.2,991.4,993.1,992.9,986.9,1004.0,1004.3,1001.7,1021.5,1000.8,1008.7,446320.0,445940.0,446520.0,446208.0,445856.0,446344.0,446332.0,445984.0,445704.0,446264.0
23-06-16_01:04:38,zstd,52428800,65536,1,False,2.91,19.87,-17.645,6.500,874246717,889.201,461456.8,893.5,881.1,890.3,889.2,890.7,889.2,893.6,879.6,881.7,903.1,446604.0,471372.0,446196.0,471644.0,471132.0,446568.0,471604.0,471756.0,471416.0,446276.0
23-06-16_01:06:12,zstd,52428800,65536,1,False,2.99,19.87,-17.392,6.491,874246717,891.940,461503.6,887.2,896.1,895.6,890.8,893.0,892.4,889.9,896.3,889.1,888.9,471112.0,446236.0,471684.0,471544.0,446360.0,446780.0,471632.0,471524.0,471740.0,446424.0
23-06-16_01:07:48,zstd,104857600,131072,1,False,6.78,19.75,-7.947,8.533,875531892,993.913,451425.6,998.8,994.0,982.2,997.5,985.4,991.3,998.7,994.8,997.5,999.0,451240.0,451612.0,451420.0,451620.0,451128.0,451384.0,451260.0,451248.0,451700.0,451644.0
23-06-16_01:09:22,zstd,52428800,65536,1,False,2.99,19.87,-17.913,6.997,874246717,886.315,459005.2,886.7,882.1,884.9,886.8,883.7,887.3,889.5,887.9,886.9,887.3,446276.0,446780.0,471372.0,471520.0,446076.0,446424.0,446652.0,471516.0,471596.0,471840.0
23-06-16_01:10:58,zstd,52428800,262144,1,True,9.74,19.97,-0.092,9.333,873129611,1078.730,447474.8,1088.7,1076.7,1072.6,1078.7,1072.3,1078.2,1067.4,1095.2,1073.6,1083.9,447652.0,447408.0,447704.0,447648.0,447436.0,447244.0,447532.0,447444.0,447340.0,447340.0
23-06-16_01:12:34,zstd,41943040,262144,1,True,10.00,19.97,0.403,9.635,873147715,1084.072,445983.2,1079.2,1074.0,1090.0,1073.4,1086.3,1132.1,1067.3,1076.7,1083.8,1078.0,445808.0,446220.0,445836.0,445876.0,446212.0,445820.0,445828.0,446208.0,446016.0,446008.0
