time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-17_03:14:49,lz4,52428800,65536,1,False,-999.00,0.00,0.000,0.000,1091048683,1075.503,493560.0,1070.3,1066.2,1071.4,1071.0,1068.2,1062.7,1082.3,1086.8,1092.1,1083.9,493668.0,493580.0,493076.0,493768.0,493716.0,493760.0,493956.0,493380.0,493020.0,493676.0
23-06-17_03:16:25,zstd,52428800,65536,1,True,2.82,19.87,-17.392,5.985,874246717,888.450,464022.4,889.4,890.9,888.4,886.4,886.5,888.8,894.9,881.6,895.2,882.4,471524.0,471832.0,446112.0,471440.0,471556.0,471644.0,471424.0,471744.0,446536.0,446412.0
23-06-17_03:17:59,zstd,41943040,65536,1,True,3.82,19.87,-17.111,8.709,874228212,891.470,450574.4,890.1,891.4,885.9,893.0,893.6,893.9,889.9,890.9,894.5,891.4,445812.0,445720.0,470244.0,445332.0,445716.0,445728.0,445528.0,470776.0,445268.0,445620.0
23-06-17_03:19:35,zstd,41943040,65536,2,False,-0.79,19.87,-16.712,-5.525,874228212,895.766,520827.6,895.5,897.9,894.5,893.3,896.3,896.0,898.3,895.2,894.8,895.9,520724.0,520720.0,520912.0,521184.0,520364.0,521428.0,521032.0,520732.0,520996.0,520184.0
23-06-17_03:21:09,zstd,41943040,65536,2,False,-0.79,19.87,-16.727,-5.513,874228212,895.604,520768.0,893.5,895.8,897.5,898.0,895.1,896.9,898.1,895.3,889.7,896.2,520780.0,520984.0,520804.0,520996.0,520532.0,520676.0,520752.0,520720.0,520532.0,520904.0
23-06-17_03:22:44,zstd,52428800,65536,1,False,3.05,19.87,-17.715,6.991,874246717,884.981,459056.0,888.1,883.5,883.2,884.2,883.9,886.4,883.8,876.9,888.0,891.9,471524.0,446552.0,446520.0,472020.0,446636.0,446740.0,446032.0,471844.0,471636.0,471056.0
23-06-17_03:24:18,zstd,31457280,65536,1,True,5.32,19.95,-16.905,12.909,873409097,893.686,429844.4,893.3,891.7,893.7,891.9,893.4,894.9,892.1,892.6,899.3,894.1,429844.0,429944.0,429356.0,430216.0,429752.0,430036.0,429952.0,429956.0,429828.0,429560.0
23-06-17_03:25:53,zstd,20971520,65536,1,True,6.06,20.10,-16.614,14.687,871777018,896.820,421068.4,898.6,891.3,900.5,895.7,898.9,892.3,900.5,894.8,893.1,902.6,422632.0,421688.0,422656.0,422224.0,422368.0,422216.0,422716.0,422272.0,422408.0,409504.0
23-06-17_03:27:29,zstd,20971520,32768,1,False,4.00,20.03,-24.092,16.074,872501700,816.391,414226.4,815.6,816.8,812.8,816.7,822.6,816.4,818.9,812.5,813.8,817.8,414016.0,414300.0,414432.0,414492.0,413872.0,413892.0,414468.0,413828.0,414304.0,414660.0
23-06-17_03:29:03,zstd,31457280,65536,1,True,5.38,19.95,-16.748,12.948,873409097,895.377,429652.0,892.1,892.5,895.6,896.1,900.3,892.9,904.5,892.8,894.2,892.7,429568.0,429616.0,429420.0,429364.0,429380.0,429524.0,429904.0,430040.0,429828.0,429876.0
23-06-17_03:30:38,zstd,31457280,32768,1,False,2.62,19.88,-23.862,11.841,874149231,818.866,435118.4,815.4,820.0,820.1,819.6,821.2,815.1,821.7,816.7,819.7,819.2,434948.0,434932.0,435096.0,435408.0,435040.0,435384.0,435212.0,435240.0,435160.0,434764.0
23-06-17_03:32:12,zstd,41943040,65536,1,False,3.52,19.87,-16.995,7.687,874228212,892.720,455620.0,890.5,896.9,894.8,889.3,887.9,892.9,892.0,893.2,892.7,897.0,470708.0,445632.0,445572.0,470424.0,470684.0,445520.0,470904.0,445484.0,445960.0,445312.0
23-06-17_03:33:47,zstd,31457280,65536,2,False,2.47,19.95,-17.794,5.257,873409097,884.133,467611.2,884.1,878.9,882.3,881.0,886.1,886.9,885.7,887.8,887.8,880.6,469916.0,469380.0,450084.0,469232.0,469692.0,469704.0,469624.0,469568.0,469448.0,469464.0
23-06-17_03:35:23,zstd,31457280,65536,2,False,2.52,19.95,-17.993,5.614,873409097,881.985,465852.0,883.0,881.1,884.9,882.0,882.6,882.2,880.9,882.2,879.8,881.0,469812.0,449796.0,469952.0,470200.0,469244.0,469824.0,469572.0,450192.0,470008.0,469920.0
23-06-17_03:36:56,zstd,20971520,65536,1,True,6.19,20.10,-16.276,14.749,871777018,900.450,420762.4,898.6,896.3,893.8,897.0,914.0,891.4,903.0,901.2,898.5,910.7,422080.0,422244.0,422472.0,422180.0,408820.0,422364.0,421520.0,421504.0,422252.0,422188.0
23-06-17_03:38:30,zstd,31457280,65536,1,False,5.30,19.95,-16.983,12.934,873409097,892.852,429720.8,890.4,893.9,894.7,892.0,890.6,889.8,902.5,888.2,895.1,891.3,429712.0,429648.0,429896.0,429552.0,429744.0,429236.0,430088.0,429712.0,429660.0,429960.0
23-06-17_03:40:05,zstd,20971520,32768,1,False,3.86,20.03,-24.549,16.101,872501700,811.477,414091.2,783.0,819.0,816.6,820.3,781.1,816.3,820.0,819.3,816.5,822.6,414688.0,413960.0,413828.0,414080.0,413708.0,414488.0,414020.0,413632.0,414100.0,414408.0
23-06-17_03:41:40,zstd,20971520,131072,1,True,10.58,19.99,-3.254,14.998,872979883,1040.502,419535.2,1046.8,1034.3,1033.3,1051.1,1039.2,1033.4,1031.4,1041.2,1065.0,1029.5,409304.0,421928.0,422368.0,409100.0,422564.0,421976.0,422272.0,421792.0,421880.0,422168.0
23-06-17_03:43:16,zstd,20971520,131072,2,False,9.55,19.99,-2.781,11.459,872979883,1045.590,437005.2,1043.4,1041.0,1045.0,1037.9,1050.3,1043.8,1046.2,1052.0,1050.3,1046.0,435996.0,435516.0,435692.0,435788.0,435784.0,435368.0,435980.0,435600.0,435596.0,448732.0
23-06-17_03:44:53,zstd,20971520,262144,1,True,11.29,20.21,-0.576,14.243,870598605,1069.310,423260.4,1077.5,1066.1,1062.6,1061.3,1064.5,1069.0,1068.4,1065.2,1080.0,1078.4,423132.0,423320.0,423048.0,423240.0,423900.0,423132.0,423332.0,422856.0,423324.0,423320.0
23-06-17_03:46:30,zstd,20971520,262144,2,True,12.35,20.21,3.179,13.671,870598605,1109.698,426084.4,1111.0,1114.7,1108.4,1112.6,1110.3,1112.4,1112.9,1105.1,1113.3,1096.3,423300.0,423048.0,436488.0,423624.0,423432.0,423236.0,423704.0,423624.0,423428.0,436960.0
23-06-17_03:47:59,zstd,20971520,524288,2,True,14.43,20.74,15.829,6.719,864817156,1245.750,460400.0,1235.8,1252.7,1237.2,1234.6,1257.3,1265.7,1243.1,1250.2,1239.9,1241.0,475464.0,450516.0,450112.0,450108.0,450252.0,475464.0,450208.0,475548.0,450396.0,475932.0
23-06-17_03:49:31,zstd,20971520,1048576,2,True,17.42,20.77,19.902,11.601,864455682,1289.550,436300.4,1296.7,1288.7,1292.1,1292.4,1288.9,1264.2,1288.1,1298.5,1298.9,1287.0,446064.0,435520.0,435344.0,435208.0,434760.0,435364.0,434876.0,435208.0,435336.0,435324.0
23-06-17_03:51:03,zstd,20971520,1048576,1,True,18.97,20.77,19.771,16.378,864455682,1288.142,412725.2,1294.9,1287.8,1288.1,1296.1,1278.6,1285.2,1288.6,1285.9,1291.0,1285.2,412952.0,413136.0,411756.0,412672.0,412488.0,412896.0,412676.0,413260.0,412880.0,412536.0
23-06-17_03:52:37,zstd,20971520,1048576,2,False,17.29,20.77,19.522,11.574,864455682,1285.468,436437.6,1277.7,1284.8,1294.2,1287.6,1282.2,1279.3,1283.9,1285.7,1294.9,1284.5,435284.0,446336.0,435688.0,435424.0,434904.0,435344.0,435612.0,434952.0,435224.0,435608.0
23-06-17_03:54:09,zstd,20971520,1048576,2,False,17.49,20.77,20.103,11.595,864455682,1291.712,436330.8,1296.9,1295.3,1296.9,1279.2,1298.9,1286.0,1291.5,1286.3,1294.8,1291.4,435332.0,435036.0,435004.0,435396.0,434844.0,434944.0,446384.0,435428.0,435336.0,435604.0
23-06-17_03:55:42,zstd,20971520,2097152,1,True,18.84,20.77,19.628,16.122,864455682,1286.599,413988.4,1290.2,1291.9,1288.1,1293.4,1291.4,1287.7,1291.9,1286.8,1260.3,1284.3,412872.0,412544.0,413396.0,412876.0,413092.0,423432.0,412868.0,412868.0,413060.0,412876.0
