time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-16_06:12:37,lz4,52428800,65536,1,True,0.00,0.00,0.000,0.000,3464720084,559.944,415821.2,559.8,563.4,560.9,554.1,560.8,559.4,560.2,560.8,559.1,560.8,416020.0,415596.0,416016.0,415740.0,415756.0,415756.0,415940.0,415728.0,415840.0,415820.0
23-06-16_06:17:29,lz4,52428800,65536,2,True,-0.68,0.00,-1.747,-0.304,3464720084,550.162,417086.0,552.5,549.0,552.5,549.4,550.2,549.9,545.3,552.6,550.7,549.5,416916.0,416984.0,416980.0,416888.0,417420.0,417164.0,417280.0,417168.0,417368.0,416692.0
23-06-16_06:22:16,lz4,52428800,32768,2,False,-16.75,-1.82,-44.875,-3.552,3527677649,308.667,430589.2,306.2,309.4,310.0,305.9,308.6,313.7,309.3,309.5,305.3,308.8,430332.0,430592.0,430808.0,430428.0,430620.0,430428.0,430992.0,430928.0,430616.0,430148.0
23-06-16_06:27:15,lz4,41943040,65536,2,True,-1.83,-0.03,-3.149,-2.307,3465749736,542.311,425414.8,541.4,542.3,542.8,543.5,541.1,542.1,542.8,541.8,542.7,542.6,424964.0,425536.0,425152.0,425728.0,425344.0,425732.0,425056.0,425616.0,425144.0,425876.0
23-06-16_06:31:57,lz4,41943040,32768,2,False,-15.97,-1.87,-40.140,-5.907,3529391012,335.181,440383.2,332.3,335.7,337.1,336.0,335.3,332.4,335.7,335.8,336.0,335.6,440408.0,440608.0,440128.0,440772.0,439928.0,440216.0,440792.0,440088.0,440316.0,440576.0
23-06-16_06:36:48,lz4,52428800,65536,2,True,-0.07,0.00,0.098,-0.303,3464720084,560.490,417080.8,557.6,561.9,560.9,560.4,562.0,560.7,562.2,561.4,559.1,558.7,417156.0,416880.0,417556.0,416984.0,416920.0,416700.0,417092.0,417096.0,417628.0,416796.0
23-06-16_06:41:40,lz4,52428800,65536,3,True,-0.52,0.00,-1.048,-0.517,3464720084,554.074,417972.0,560.8,554.0,554.4,553.4,550.1,553.2,553.6,552.2,556.6,552.5,418324.0,417752.0,418200.0,417944.0,417600.0,417760.0,417632.0,418324.0,418132.0,418052.0
23-06-16_06:46:23,lz4,52428800,32768,3,False,-16.92,-1.82,-45.160,-3.778,3527677649,307.071,431532.0,306.4,307.4,306.9,308.0,307.7,307.2,306.1,306.4,307.7,306.8,431300.0,431384.0,431480.0,431772.0,432020.0,431296.0,431764.0,431308.0,431756.0,431240.0
23-06-16_06:51:15,lz4,52428800,65536,2,True,0.03,0.00,0.380,-0.286,3464720084,562.071,417009.2,563.9,562.7,560.8,560.9,561.4,564.9,562.4,559.2,562.0,562.5,417088.0,417032.0,416508.0,417060.0,416896.0,417364.0,416892.0,417076.0,417276.0,416900.0
23-06-16_06:56:09,lz4,52428800,131072,2,True,4.42,1.43,10.395,1.431,3415346038,618.148,409869.6,620.0,614.7,619.3,617.0,619.8,616.4,617.4,620.1,618.3,618.5,409884.0,409416.0,409784.0,410260.0,409788.0,409984.0,409796.0,410512.0,409408.0,409864.0
23-06-16_07:01:04,lz4,52428800,131072,1,True,4.06,1.43,9.091,1.670,3415346038,610.847,408877.2,614.6,610.5,609.5,611.8,611.0,609.4,611.5,610.7,608.2,611.3,409296.0,408720.0,408924.0,409004.0,408840.0,409168.0,408456.0,408632.0,408908.0,408824.0
23-06-16_07:05:55,lz4,52428800,65536,1,False,0.35,0.00,1.056,-0.004,3464720084,565.856,415836.0,565.0,566.7,566.9,566.8,563.8,564.8,564.7,566.7,566.9,566.2,416120.0,415748.0,415940.0,415836.0,415836.0,415744.0,415552.0,415920.0,415728.0,415936.0
23-06-16_07:10:52,lz4,52428800,131072,2,True,4.25,1.43,9.889,1.428,3415346038,615.318,409881.6,614.7,615.8,613.6,615.7,616.5,616.8,614.3,614.9,612.7,618.2,409780.0,409784.0,409976.0,410068.0,409980.0,409944.0,409796.0,409696.0,409608.0,410184.0
23-06-16_07:15:43,lz4,52428800,65536,2,False,-0.23,0.00,-0.368,-0.310,3464720084,557.881,417111.2,557.3,555.3,558.5,558.9,557.5,556.3,556.8,561.4,559.7,557.0,417808.0,416888.0,417272.0,416712.0,417080.0,417424.0,416980.0,416872.0,417340.0,416736.0
23-06-16_07:20:38,lz4,104857600,131072,2,True,14.44,1.70,36.030,5.597,3405952807,761.691,392549.2,761.0,763.9,762.1,758.2,763.3,760.4,763.2,766.3,761.9,756.6,392124.0,391984.0,392588.0,392412.0,392404.0,393616.0,392672.0,392868.0,392504.0,392320.0
23-06-16_07:25:34,lz4,104857600,131072,3,True,16.23,1.70,41.812,5.179,3405952807,794.066,394284.8,788.0,799.3,797.9,799.7,790.4,788.9,797.4,794.7,789.0,795.2,394248.0,394516.0,394236.0,393468.0,394472.0,394336.0,394708.0,394236.0,394048.0,394580.0
