time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-17_08:29:16,lz4,52428800,65536,1,False,-999.00,0.00,0.000,0.000,3464720084,562.208,415954.0,562.9,562.3,565.4,562.5,563.6,560.1,561.8,557.8,566.4,559.1,415988.0,416028.0,415752.0,416276.0,416028.0,416008.0,415732.0,415756.0,415944.0,416028.0
23-06-17_08:34:09,lz4,52428800,65536,1,True,-0.53,0.00,-1.604,0.017,3464720084,553.191,415883.6,554.6,553.5,554.1,554.3,550.9,553.3,553.3,553.7,553.8,550.4,415760.0,415936.0,415752.0,416224.0,415560.0,415760.0,416224.0,416032.0,415840.0,415748.0
23-06-17_08:39:04,lz4,104857600,65536,1,True,-2.29,0.25,-11.621,4.499,3456185464,496.875,397241.2,493.5,498.5,495.9,496.3,499.1,499.0,498.1,495.7,493.9,498.9,397212.0,397132.0,397208.0,396744.0,397128.0,397120.0,397656.0,397216.0,397596.0,397400.0
23-06-17_08:44:00,lz4,104857600,131072,1,True,14.94,1.70,37.070,6.045,3405952807,770.620,390809.2,769.0,771.2,772.4,765.7,771.9,775.0,767.4,778.9,768.5,766.4,390740.0,390780.0,391136.0,391244.0,390604.0,390656.0,390788.0,391060.0,390212.0,390872.0
23-06-17_08:49:01,lz4,104857600,262144,1,True,20.45,2.68,51.805,6.855,3371871776,853.462,387442.0,853.2,863.7,852.3,846.4,845.6,854.4,861.5,855.5,850.5,851.5,387136.0,387532.0,388184.0,387336.0,387140.0,387324.0,387584.0,387332.0,387520.0,387332.0
23-06-17_08:54:00,lz4,104857600,524288,1,True,22.56,3.32,57.865,6.488,3349585230,887.527,388968.8,889.1,879.4,885.1,882.5,880.9,895.2,884.2,897.8,890.4,890.6,389316.0,389260.0,389340.0,388488.0,389256.0,388588.0,388676.0,388484.0,388756.0,389524.0
23-06-17_08:59:04,lz4,104857600,1048576,1,True,22.54,3.60,57.509,6.505,3339921465,885.526,388895.2,890.0,880.9,892.5,889.6,879.6,882.9,890.1,872.6,883.3,893.8,388868.0,389060.0,388300.0,388484.0,389064.0,388584.0,389060.0,389336.0,388872.0,389324.0
23-06-17_09:04:04,lz4,52428800,1048576,1,False,6.85,3.09,14.675,2.802,3357819022,644.713,404297.2,641.8,653.1,638.2,651.1,646.2,647.3,641.7,644.3,641.3,642.3,404232.0,404096.0,404768.0,404124.0,404264.0,404548.0,404504.0,404036.0,404192.0,404208.0
23-06-17_09:09:02,lz4,104857600,524288,1,True,23.19,3.32,59.746,6.493,3349585230,898.102,388946.4,900.1,888.7,904.3,904.2,889.8,897.8,901.8,894.4,900.9,898.9,389064.0,389064.0,389720.0,389076.0,388492.0,389536.0,388396.0,389152.0,388480.0,388484.0
23-06-17_09:14:02,lz4,104857600,524288,2,False,21.65,3.32,55.395,6.233,3349585230,873.644,390028.0,872.8,877.3,871.4,871.2,875.8,873.0,877.0,872.9,877.5,867.5,390108.0,390108.0,389832.0,390688.0,389644.0,389912.0,390408.0,390300.0,389836.0,389444.0
