time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-20_00:27:12,lz4,52428800,65536,1,False,-999.00,0.00,0.000,0.000,2306293949,573.685,393774.8,567.4,567.0,566.4,623.7,566.9,566.4,563.1,580.4,567.9,567.7,393856.0,393864.0,393948.0,393672.0,393532.0,393780.0,394020.0,393372.0,393860.0,393844.0
23-06-20_00:29:48,zstd,52428800,65536,1,True,0.62,13.01,-11.483,0.334,2006319390,507.807,392458.0,507.6,507.6,507.3,508.8,507.5,508.2,508.8,508.3,506.2,507.7,392996.0,392516.0,392124.0,392544.0,392712.0,392684.0,392360.0,391996.0,392368.0,392280.0
23-06-20_00:32:26,zstd,52428800,65536,2,True,-0.04,13.01,-12.117,-0.999,2006319390,504.172,397708.0,504.8,501.5,505.8,504.9,503.6,504.8,504.0,504.1,504.4,503.7,397360.0,397260.0,397020.0,397604.0,398048.0,397876.0,398164.0,397832.0,398168.0,397748.0
23-06-20_00:35:01,zstd,41943040,65536,2,True,1.07,13.01,-10.926,1.139,2006322985,511.007,389289.2,511.8,511.7,513.2,510.9,509.1,510.7,510.7,510.7,510.0,511.3,388416.0,388760.0,389152.0,392896.0,388376.0,389060.0,389476.0,388572.0,388772.0,389412.0
23-06-20_00:37:37,zstd,41943040,65536,1,True,1.31,13.01,-11.397,2.320,2006322985,508.303,384638.0,507.7,507.7,508.5,508.1,509.3,509.8,506.6,510.4,508.9,506.1,384736.0,384548.0,384612.0,384652.0,384780.0,384652.0,384460.0,384648.0,384904.0,384388.0
23-06-20_00:40:13,zstd,52428800,65536,1,True,-0.20,13.01,-13.954,0.341,2006319390,493.631,392432.4,494.3,494.4,492.5,494.5,494.2,493.7,492.2,493.4,492.5,494.8,392324.0,391836.0,392512.0,392896.0,392516.0,392476.0,392604.0,392320.0,392140.0,392700.0
23-06-20_00:42:47,zstd,52428800,32768,1,False,-8.71,12.24,-36.943,-1.444,2023920086,361.750,399459.6,362.3,362.6,361.1,360.7,361.6,360.9,361.8,362.6,362.2,361.7,399216.0,399524.0,399432.0,399264.0,399500.0,399704.0,399428.0,399584.0,399236.0,399708.0
23-06-20_00:45:24,zstd,104857600,65536,1,True,-0.00,13.02,-10.733,-2.297,2006114068,512.111,402821.6,511.9,511.5,512.4,512.2,513.6,512.3,512.8,510.8,513.2,510.5,402992.0,402788.0,403064.0,402688.0,402916.0,403616.0,402436.0,402756.0,402688.0,402272.0
23-06-20_00:48:01,zstd,209715200,65536,1,False,-1.62,13.01,-13.149,-4.715,2006318657,498.252,412339.6,499.9,497.8,500.5,501.6,500.1,501.3,499.8,491.6,498.0,491.9,412640.0,412020.0,412232.0,412300.0,412296.0,412492.0,412148.0,412744.0,412412.0,412112.0
23-06-20_00:50:37,zstd,209715200,65536,1,False,-1.56,13.01,-13.012,-4.685,2006318657,499.039,412221.6,498.5,501.6,502.5,502.0,498.9,501.2,493.5,492.6,499.5,500.2,412100.0,412044.0,412292.0,412488.0,411916.0,411684.0,412384.0,412448.0,412484.0,412376.0
23-06-20_00:53:09,zstd,104857600,32768,1,False,-9.04,12.23,-35.303,-4.059,2024284685,371.155,409756.8,370.1,371.3,372.0,372.1,370.5,371.9,370.8,371.2,371.1,370.5,409904.0,409992.0,409616.0,409408.0,409408.0,409804.0,409952.0,409504.0,410184.0,409796.0
23-06-20_00:55:46,zstd,104857600,65536,2,False,-2.58,13.02,-13.081,-7.661,2006114068,498.643,423942.4,497.2,499.8,497.8,500.5,501.5,499.8,497.5,493.6,498.8,499.9,424012.0,424020.0,423900.0,423896.0,423744.0,423828.0,423964.0,424088.0,423808.0,424164.0
23-06-20_00:58:17,zstd,104857600,32768,1,False,-9.49,12.23,-36.625,-4.079,2024284685,363.575,409836.8,362.9,363.4,363.5,363.7,363.6,363.6,363.9,362.8,363.7,364.7,409696.0,409992.0,409824.0,409616.0,409992.0,409888.0,409692.0,409416.0,409804.0,410448.0
