time,Compression Type,Page Size,Cluster Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-15_12:36:35,lz4,65536,52428800,1,True,0.00,0.00,0.000,0.000,1103485213,1064.613,448536.8,1065.7,1065.6,1064.5,1069.3,1065.9,1064.2,1061.1,1062.6,1063.4,1063.9,448960.0,447928.0,448956.0,448188.0,448692.0,448836.0,448380.0,449016.0,448196.0,448216.0
23-06-15_12:37:23,lz4,65536,41943040,1,True,1.34,-0.00,-0.038,4.063,1103488306,1064.207,430310.8,1063.6,1067.7,1065.7,1060.1,1066.0,1062.1,1064.2,1060.8,1067.5,1064.4,430316.0,430112.0,429612.0,429980.0,431056.0,430452.0,430776.0,430188.0,431252.0,429364.0
23-06-15_12:38:10,lz4,65536,52428800,1,False,0.00,0.00,-0.117,0.118,1103485213,1063.363,448005.6,1061.6,1063.9,1064.9,1061.8,1066.2,1059.9,1059.1,1067.8,1062.8,1065.8,448416.0,448076.0,447992.0,448280.0,447060.0,448540.0,447892.0,447612.0,448264.0,447924.0
23-06-15_12:38:58,lz4,65536,52428800,1,False,-0.13,0.00,-0.578,0.180,1103485213,1058.458,447731.2,1063.0,1058.6,1058.1,1062.1,1061.3,1057.2,1061.5,1056.7,1047.3,1058.7,447620.0,447872.0,447708.0,447184.0,447808.0,447676.0,447992.0,448188.0,447844.0,447420.0
23-06-15_12:39:46,lz4,65536,41943040,2,False,-1.21,-0.00,0.511,-4.127,1103488306,1070.050,467049.6,1069.7,1066.2,1066.2,1072.4,1071.9,1073.1,1072.5,1067.0,1074.7,1066.8,468636.0,467236.0,466340.0,466616.0,467240.0,467540.0,467468.0,466436.0,466268.0,466716.0
23-06-15_12:40:32,lz4,32768,41943040,1,False,-2.50,-0.34,-11.129,3.987,1107272960,946.133,430654.8,946.4,950.9,943.2,943.1,951.8,953.8,945.0,930.7,950.5,945.8,429264.0,430560.0,430640.0,430496.0,430652.0,430428.0,430584.0,430808.0,432148.0,430968.0
23-06-15_12:41:20,lz4,65536,52428800,1,False,-0.03,0.00,-0.189,0.104,1103485213,1062.599,448070.8,1062.3,1064.5,1059.5,1064.8,1061.9,1063.6,1058.7,1064.5,1069.6,1056.5,447772.0,447800.0,448112.0,447836.0,447800.0,448876.0,447400.0,448384.0,448296.0,448432.0
23-06-15_12:42:08,lz4,65536,41943040,2,False,-1.35,-0.00,0.242,-4.297,1103488306,1067.188,467811.6,1061.4,1065.9,1055.9,1067.2,1070.2,1070.6,1071.7,1073.9,1065.3,1069.8,465892.0,467472.0,476672.0,466616.0,466696.0,466812.0,467284.0,466620.0,467088.0,466964.0
23-06-15_12:42:56,lz4,65536,41943040,2,False,-1.29,-0.00,0.433,-4.290,1103488306,1069.222,467781.2,1067.6,1069.4,1068.6,1069.0,1073.1,1070.6,1073.4,1072.4,1067.5,1060.6,466952.0,466436.0,466324.0,467224.0,466156.0,466884.0,466944.0,466588.0,467096.0,477208.0
23-06-15_12:43:47,lz4,131072,41943040,1,True,6.09,0.24,14.670,3.358,1100870052,1220.795,433473.6,1217.4,1225.8,1219.1,1214.9,1217.1,1223.0,1217.0,1227.5,1229.9,1216.2,433096.0,433708.0,433232.0,433676.0,433876.0,433748.0,433684.0,432728.0,433200.0,433788.0
