time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-15_17:05:06,zstd,52428800,65536,1,True,0.00,0.00,0.000,0.000,1103485213,1050.253,447916.0,1051.3,1046.9,1046.0,1051.1,1054.2,1052.1,1049.9,1053.7,1048.7,1048.6,448124.0,448268.0,447240.0,448292.0,447848.0,448128.0,448544.0,448580.0,447292.0,446844.0
23-06-15_17:05:59,zstd,52428800,65536,2,False,-5.65,4.85,-7.777,-14.023,1050014750,968.573,510726.8,959.3,963.6,968.0,968.2,972.0,978.2,971.1,969.9,971.5,964.0,510460.0,510452.0,510128.0,509496.0,510704.0,515384.0,509052.0,510188.0,510720.0,510684.0
23-06-15_17:06:53,zstd,52428800,32768,1,False,-6.88,4.46,-21.902,-3.189,1054236628,820.231,462198.0,822.0,820.2,816.1,818.2,816.5,819.6,816.5,817.9,830.5,824.9,461960.0,462296.0,462188.0,461756.0,462492.0,462944.0,462284.0,462252.0,462016.0,461792.0
23-06-15_17:07:46,zstd,52428800,65536,2,True,-5.17,4.85,-6.074,-14.270,1050014750,986.457,511835.2,988.3,981.7,990.5,990.6,985.4,984.6,978.9,987.0,988.2,989.4,511064.0,512032.0,511468.0,511832.0,513368.0,511748.0,511560.0,511168.0,512572.0,511540.0
23-06-15_17:08:40,zstd,52428800,32768,2,False,-10.45,4.46,-22.287,-13.537,1054236628,816.180,508549.2,824.7,808.9,811.4,820.9,814.7,813.3,816.1,816.1,817.1,818.7,508292.0,508368.0,509136.0,508092.0,508444.0,509028.0,508372.0,508368.0,508180.0,509212.0
23-06-15_17:09:32,zstd,52428800,131072,2,True,-3.19,5.03,0.170,-14.784,1047970652,1052.033,514136.0,1049.7,1051.3,1052.3,1056.2,1055.5,1046.9,1057.0,1050.3,1049.6,1051.5,512960.0,514104.0,515164.0,514436.0,514052.0,514524.0,513372.0,514500.0,514396.0,513852.0
23-06-15_17:10:24,zstd,52428800,131072,1,True,0.26,5.03,-0.092,-4.153,1047970652,1049.281,466516.0,1051.8,1044.9,1052.4,1038.3,1049.7,1053.6,1050.0,1049.4,1051.3,1051.5,466212.0,466624.0,466512.0,466620.0,466628.0,466516.0,466700.0,466332.0,466636.0,466380.0
23-06-15_17:11:16,zstd,52428800,131072,2,False,-3.72,5.03,-0.470,-15.719,1047970652,1045.312,518324.4,1044.7,1053.3,1048.3,1041.2,1048.8,1051.8,1037.9,1050.8,1031.7,1044.5,516436.0,516100.0,515868.0,516888.0,516256.0,515856.0,515392.0,516628.0,537656.0,516164.0
23-06-15_17:12:09,zstd,52428800,131072,2,False,-3.49,5.03,-0.744,-14.759,1047970652,1042.435,514024.8,1041.6,1037.6,1044.1,1043.6,1046.6,1037.0,1041.4,1046.0,1039.5,1046.9,513356.0,513856.0,514904.0,513656.0,514908.0,514120.0,513736.0,513920.0,513660.0,514132.0
23-06-15_17:13:00,zstd,41943040,131072,1,True,1.65,5.03,-0.628,0.562,1047994860,1043.658,445400.0,1041.6,1042.7,1039.6,1044.6,1034.8,1049.7,1044.7,1045.2,1047.3,1046.3,445312.0,445576.0,445580.0,445600.0,445312.0,445108.0,445100.0,445592.0,445316.0,445504.0
23-06-15_17:13:52,zstd,41943040,131072,2,False,-1.21,5.03,-0.940,-7.724,1047994860,1040.380,482513.2,1029.5,1039.6,1052.4,1039.6,1040.4,1041.6,1037.2,1042.0,1040.3,1041.2,481652.0,482552.0,482564.0,483108.0,483220.0,483028.0,481608.0,483216.0,481808.0,482376.0
23-06-15_17:14:44,zstd,41943040,131072,2,False,-1.18,5.03,-0.810,-7.766,1047994860,1041.750,482702.4,1042.1,1041.0,1038.9,1046.0,1039.5,1042.8,1047.3,1042.5,1044.6,1032.9,482416.0,483024.0,482464.0,482528.0,482836.0,482836.0,482596.0,482652.0,482924.0,482748.0
23-06-15_17:15:35,zstd,41943040,65536,1,False,-0.18,4.84,-5.976,0.603,1050042858,987.487,445213.2,991.8,984.1,988.2,986.8,987.3,985.8,992.6,987.9,987.9,982.6,445200.0,445392.0,445400.0,445036.0,445396.0,445408.0,445088.0,445468.0,444732.0,445012.0
