time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-16_16:41:54,lz4,52428800,65536,1,False,-999.00,0.00,0.000,0.000,1103485213,1069.429,447562.0,1056.7,1070.0,1067.7,1070.9,1068.9,1068.3,1068.6,1074.7,1076.6,1071.9,447292.0,447436.0,447592.0,447900.0,448000.0,447512.0,447928.0,447324.0,447124.0,447512.0
23-06-16_16:42:42,lz4,52428800,65536,1,True,0.03,0.00,0.111,-0.017,1103485213,1070.613,447636.4,1070.9,1071.2,1072.7,1069.5,1072.5,1060.1,1070.4,1074.0,1073.2,1071.7,447872.0,447240.0,447908.0,447772.0,447360.0,447520.0,447428.0,447896.0,447764.0,447604.0
23-06-16_16:43:31,lz4,52428800,131072,1,True,5.13,0.24,16.063,-0.896,1100865616,1241.210,451574.0,1241.3,1254.6,1244.4,1242.4,1238.9,1241.8,1228.5,1235.7,1237.6,1246.9,451932.0,451540.0,451080.0,452048.0,451448.0,452004.0,450888.0,450884.0,451916.0,452000.0
23-06-16_16:44:22,lz4,52428800,262144,1,True,7.02,0.41,22.798,-2.157,1098976801,1313.242,457214.0,1282.4,1317.6,1316.3,1316.6,1320.5,1305.4,1317.0,1319.2,1318.0,1319.4,457032.0,458440.0,458144.0,457216.0,457304.0,457036.0,456836.0,457224.0,456460.0,456448.0
23-06-16_16:45:11,lz4,52428800,131072,1,True,5.13,0.24,16.063,-0.915,1100865616,1241.209,451659.2,1247.7,1245.8,1231.8,1234.4,1246.1,1252.9,1253.2,1254.1,1216.7,1229.3,451432.0,452700.0,451528.0,452296.0,452124.0,451648.0,450880.0,451080.0,451352.0,451552.0
23-06-16_16:46:02,lz4,104857600,131072,1,False,-1.19,0.24,17.104,-20.908,1100867895,1252.346,541138.0,1248.1,1249.5,1247.5,1252.4,1257.9,1260.1,1257.8,1253.1,1257.9,1239.1,541316.0,543308.0,541312.0,540444.0,540740.0,541524.0,540548.0,541512.0,540512.0,540164.0
23-06-16_16:46:51,lz4,41943040,131072,1,True,6.06,0.24,14.912,3.029,1100870052,1228.906,434004.4,1222.4,1223.8,1238.4,1232.9,1237.0,1221.6,1215.8,1217.6,1244.5,1235.1,433880.0,434656.0,433880.0,433504.0,433676.0,432600.0,435804.0,434376.0,433496.0,434172.0
23-06-16_16:47:41,lz4,41943040,131072,2,False,3.77,0.24,15.884,-4.809,1100870052,1239.302,469084.0,1239.8,1225.2,1237.0,1236.9,1238.3,1248.2,1244.2,1246.0,1235.8,1241.6,469128.0,469712.0,469592.0,469700.0,469212.0,469132.0,468824.0,468828.0,468160.0,468552.0
23-06-16_16:48:28,lz4,41943040,65536,1,False,1.23,-0.00,-0.231,3.912,1103488306,1066.957,430054.0,1062.9,1071.6,1072.4,1065.5,1065.3,1061.7,1068.3,1071.1,1065.2,1065.6,430828.0,429860.0,429776.0,430120.0,430232.0,429948.0,429800.0,429964.0,429876.0,430136.0
23-06-16_16:49:18,lz4,52428800,131072,1,False,5.58,0.24,17.343,-0.842,1100865616,1254.898,451328.4,1255.9,1258.4,1253.5,1254.7,1253.4,1255.7,1260.4,1256.1,1257.6,1243.3,451488.0,451428.0,451740.0,451360.0,451932.0,451356.0,450500.0,451184.0,450888.0,451408.0
